Country,Year,Type,Value_Actual,Value_Fitted,Value_Base,Value_Optimistic,Value_Conservative
UK,2033,Forecast,,,11.285551530760394,13.200494155076528,10.422751700149737
UK,2034,Forecast,,,11.647586155169249,13.893502951785665,10.650695918971868
UK,2035,Forecast,,,11.955625933081885,14.54308591155883,10.824225291327753
USA,2016,Historical,4.128854547437265,3.756063259710315,,,
USA,2017,Historical,5.281707833247136,5.3436705194086755,,,
USA,2018,Historical,7.74385996181306,7.567779038037447,,,
USA,2019,Historical,10.530649251200302,10.649795176201334,,,
USA,2020,Historical,14.33042473389864,14.856747088276025,,,
USA,2021,Historical,20.413117114701734,20.482606346409938,,,
USA,2022,Historical,28.2703150119239,27.80299334374395,,,
USA,2023,Historical,37.13666253239687,36.99665831370223,,,
USA,2024,Historical,47.70768952919974,48.0425414265379,,,
USA,2025,Historical,60.728079789375684,60.62871294340149,,,
USA,2026,Forecast,,,76.35640020860038,77.83904875634019,75.61507593473047
USA,2027,Forecast,,,93.0585741960171,96.70758606005171,91.2603832534039
USA,2028,Forecast,,,109.84577553901784,116.36961099007853,106.67734554761624
USA,2029,Forecast,,,125.92567722753712,135.99489079570515,121.10611804172888
USA,2030,Forecast,,,140.7627911336644,154.9702171321424,134.0610464262929
USA,2031,Forecast,,,154.1230795883741,172.9737195569004,145.3601493654897
USA,2032,Forecast,,,166.02189752589243,189.94588692896045,155.06222187919147
USA,2033,Forecast,,,176.63088488540245,206.00759857649754,163.3692145807701
USA,2034,Forecast,,,186.19082198727136,221.37416624197567,170.53942436924584
USA,2035,Forecast,,,194.95131663018844,236.2908563530416,176.8298763192466
